Dates,Prices
2020-10-31,1.01E+01
2020-11-30,1.03E+01
2020-12-31,1.10E+01
2021-01-31,1.09E+01
2021-02-28,1.09E+01
2021-03-31,1.09E+01
2021-04-30,1.04E+01
2021-05-31,9.84E+00
2021-06-30,1.00E+01
2021-07-31,1.01E+01
2021-08-31,1.03E+01
2021-09-30,1.02E+01
2021-10-31,1.01E+01
2021-11-30,1.12E+01
2021-12-31,1.14E+01
2022-01-31,1.15E+01
2022-02-28,1.18E+01
2022-03-31,1.15E+01
2022-04-30,1.07E+01
2022-05-31,1.07E+01
2022-06-30,1.04E+01
2022-07-31,1.05E+01
2022-08-31,1.04E+01
2022-09-30,1.08E+01
2022-10-31,1.10E+01
2022-11-30,1.16E+01
2022-12-31,1.16E+01
2023-01-31,1.21E+01
2023-02-28,1.17E+01
2023-03-31,1.20E+01
2023-04-30,1.15E+01
2023-05-31,1.12E+01
2023-06-30,1.09E+01
2023-07-31,1.14E+01
2023-08-31,1.11E+01
2023-09-30,1.15E+01
2023-10-31,1.18E+01
2023-11-30,1.22E+01
2023-12-31,1.28E+01
2024-01-31,1.26E+01
2024-02-29,1.24E+01
2024-03-31,1.27E+01
2024-04-30,1.21E+01
2024-05-31,1.14E+01
2024-06-30,1.15E+01
2024-07-31,1.16E+01
2024-08-31,1.15E+01
2024-09-30,1.18E+01
